"アルバム名","曲名","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","たわむれ","2","1","0","64240","175.105","3","7","1","0.352","0.65","0.472","0.929","0.376","-13.763","0.0672","0.688"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","河に浮かぶ街","2","2","0","103800","94.975","4","10","0","0.247","0.548","0.565","0.114","0.377","-13.247","0.0311","0.927"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ダハーカ発進","2","3","0","107813","110.972","4","1","1","0.0712","0.514","0.828","0.039","0.52","-9.978","0.0507","0.784"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","婚約の儀","2","4","0","56653","135.721","3","7","1","0.91","0.37","0.149","0.885","0.366","-11.315","0.0427","0.835"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","緊迫","2","5","0","102667","159.997","5","9","0","0.0927","0.495","0.855","0.416","0.274","-10.641","0.0497","0.466"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","強大な敵","2","6","0","78040","160.996","4","10","1","0.00046","0.427","0.772","0.79","0.386","-11.938","0.053","0.327"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","襲撃","2","7","0","79267","169.957","3","1","1","0.887","0.503","0.455","0.925","0.295","-13.279","0.0589","0.547"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","哀しみ","2","8","0","136853","79.236","3","7","0","0.0751","0.284","0.247","0.526","0.128","-10.928","0.0344","0.0627"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","絶望と希望","2","9","1","185347","75.02","3","11","0","0.853","0.308","0.194","0.574","0.0923","-11.743","0.0324","0.228"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","大真面目","2","10","0","64267","178.064","1","1","1","0.0069","0.661","0.293","0.912","0.0919","-20.681","0.534","0.141"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","偉大なる芸術","2","11","0","81440","110.019","3","4","0","0.701","0.756","0.0539","0.219","0.0667","-17.509","0.0408","0.477"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ナルシーのテーマ","2","12","0","114813","153.844","3","1","0","0.62","0.32","0.196","2.41e-05","0.386","-13.749","0.0335","0.199"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","水の都","2","13","1","84307","161.801","3","2","1","0.143","0.582","0.429","0.949","0.212","-13.54","0.0449","0.753"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","おかしな連中","2","14","0","87573","133.814","3","4","1","0.765","0.656","0.406","0.0143","0.209","-10.352","0.0517","0.406"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","丘に建つ館","2","15","0","79667","149.95","3","7","1","0.403","0.658","0.234","0.874","0.0643","-14.148","0.0328","0.886"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","可憐なる才女","2","16","0","12960","0.0","0","0","1","0.495","0.0","0.114","1.91e-06","0.0802","-10.947","0.0","0.0"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","逃げのびた先に…","2","17","0","178200","147.351","3","2","1","0.964","0.245","0.282","0.903","0.138","-12.776","0.0355","0.0376"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","悲しみを越えて","2","18","1","147893","136.132","4","1","1","0.836","0.381","0.18","0.541","0.0625","-10.853","0.032","0.0688"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","出陣!","2","19","0","182173","134.676","1","3","1","0.358","0.222","0.42","0.78","0.369","-10.686","0.0336","0.306"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","激突!","2","20","1","86013","153.19","3","7","1","0.143","0.405","0.487","0.00153","0.211","-8.083","0.0318","0.378"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","勝利の雄叫び!","2","21","0","37600","92.556","3","10","1","0.0271","0.229","0.43","0.882","0.198","-7.319","0.0339","0.356"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","敗北","2","22","0","36267","70.793","3","10","0","0.974","0.221","0.0206","0.6","0.169","-22.239","0.0359","0.0706"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","力尽きたとき","2","23","0","98320","75.983","4","11","0","0.56","0.569","0.199","0.735","0.19","-13.704","0.053","0.88"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","大河を駆ける","2","24","0","75253","77.481","4","4","1","0.171","0.338","0.466","0.306","0.791","-8.545","0.0345","0.411"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","地底の民","2","25","0","92680","95.962","3","8","1","0.051","0.724","0.44","0.956","0.16","-12.693","0.0622","0.481"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","土と水と火と鉄","2","26","0","80787","104.882","4","0","1","0.131","0.591","0.322","0.128","0.186","-14.124","0.0743","0.492"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","幽閉","2","27","0","101467","165.036","3","11","1","0.781","0.527","0.444","0.583","0.076","-15.865","0.0378","0.148"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","軍師","2","28","1","176253","120.171","4","9","0","0.656","0.459","0.25","0.714","0.101","-12.09","0.0321","0.29"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","作戦","2","29","0","145720","112.885","4","2","0","0.661","0.537","0.434","0.158","0.236","-10.818","0.0322","0.666"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","疑惑の影","2","30","0","84933","144.227","4","5","0","0.939","0.148","0.191","0.694","0.0975","-17.522","0.04","0.0323"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","オボロ探偵事務所","2","31","0","76773","108.686","3","8","1","0.67","0.564","0.26","0.888","0.0918","-16.309","0.0407","0.815"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","とぼけたヤツら","2","32","0","100333","116.012","3","4","0","0.576","0.816","0.228","0.9","0.171","-13.185","0.0516","0.675"
