"id","album_id","isrc","name","popularity","duration_ms","disc_number","track_number","spotify_external_url","preview_url","api_href"
"5sfVqfiCADKUlwn5iBrm5K","5cCA9ErhDo9sjGR4y4CY47","JPM201801708","第5章「狂皇子ルカ ブライト」 ~虐殺(イベント「リューベの村襲撃」より)","0","17093","1","24","https://open.spotify.com/track/5sfVqfiCADKUlwn5iBrm5K","https://p.scdn.co/mp3-preview/d51c03e70dfa474967d9bbacf2f079d1d3e0ebdd?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5sfVqfiCADKUlwn5iBrm5K"
"6nYoki6uMJTHoRunKKp8On","5cCA9ErhDo9sjGR4y4CY47","JPM201801709","第5章「狂皇子ルカ ブライト」 ~緊迫(イベント「ルカの凶行」より)","3","104200","1","25","https://open.spotify.com/track/6nYoki6uMJTHoRunKKp8On","https://p.scdn.co/mp3-preview/7386240a47acd9688c6fe26f597358e42d278b3d?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6nYoki6uMJTHoRunKKp8On"
"5YP3cW1HkfnxsMwVAfimkm","5cCA9ErhDo9sjGR4y4CY47","JPM201801710","第5章「狂皇子ルカ ブライト」 ~戦争(戦争BGM)","4","51333","1","26","https://open.spotify.com/track/5YP3cW1HkfnxsMwVAfimkm","https://p.scdn.co/mp3-preview/0efec21aa4cb62f11aefbe237da9508b5dd3202c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/5YP3cW1HkfnxsMwVAfimkm"
"69ka4kpEZdKSwt4crTeKhU","5cCA9ErhDo9sjGR4y4CY47","JPM201801711","第5章「狂皇子ルカ ブライト」 ~崩壊(イベント「燃える砦」より)","0","18600","1","27","https://open.spotify.com/track/69ka4kpEZdKSwt4crTeKhU","https://p.scdn.co/mp3-preview/ab0bf669cdb6f3dd28473a975c175f67b6c5219f?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/69ka4kpEZdKSwt4crTeKhU"
"6Wb0RG7Er1D3m7QaTPFZXg","5cCA9ErhDo9sjGR4y4CY47","JPM201801712","第6章「少年たちの儀式」 ~彼方の星(レックナートのテーマ)","3","131133","1","28","https://open.spotify.com/track/6Wb0RG7Er1D3m7QaTPFZXg","https://p.scdn.co/mp3-preview/484a17863be0ed1479fafb31e78a8a817135c085?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6Wb0RG7Er1D3m7QaTPFZXg"
"6koGlnnjIQvvORsqPok0UO","5cCA9ErhDo9sjGR4y4CY47","JPM201801713","第6章「少年たちの儀式」 ~過ぎた日々(イベント「少年たちの儀式」より)","3","293400","1","29","https://open.spotify.com/track/6koGlnnjIQvvORsqPok0UO","https://p.scdn.co/mp3-preview/c599d76d36e446e886d1a7e712d5a99760aeb96c?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/6koGlnnjIQvvORsqPok0UO"
"50Mixk2ScE8fRv4E3TY2Aa","5cCA9ErhDo9sjGR4y4CY47","JPM201801714","第7章「ミューズへ」 ~静けさの中に(白鹿亭BGM)","3","188933","2","1","https://open.spotify.com/track/50Mixk2ScE8fRv4E3TY2Aa","https://p.scdn.co/mp3-preview/a12f486352f29fa7444c3a5320926875232ff402?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/50Mixk2ScE8fRv4E3TY2Aa"
"7GPAtp3ubVjcr0Fc6IGERe","5cCA9ErhDo9sjGR4y4CY47","JPM201801715","第7章「ミューズへ」 ~あの丘に登ろう(ミューズBGM)","3","231466","2","2","https://open.spotify.com/track/7GPAtp3ubVjcr0Fc6IGERe","https://p.scdn.co/mp3-preview/dac2909616af6e6661ebbbcdef1fd327ce8427bb?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/7GPAtp3ubVjcr0Fc6IGERe"
"2oswrZtJoQmZZnJ9xS0qFg","5cCA9ErhDo9sjGR4y4CY47","JPM201801716","第7章「ミューズへ」 ~静かなお部屋(議事場BGM)","2","110493","2","3","https://open.spotify.com/track/2oswrZtJoQmZZnJ9xS0qFg","https://p.scdn.co/mp3-preview/dd9e30804cdd79e152ae4ce17eab3fe13dced209?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/2oswrZtJoQmZZnJ9xS0qFg"
"0KvjTPx9hVS1gjdvRwwpjX","5cCA9ErhDo9sjGR4y4CY47","JPM201801717","第7章「ミューズへ」 ~ナルシーのテーマふたたび(ヴァンサン、シモーヌのテーマ)","2","201706","2","4","https://open.spotify.com/track/0KvjTPx9hVS1gjdvRwwpjX","https://p.scdn.co/mp3-preview/b5f7699ddf5fca1cd81b388f06498227febfa422?cid=2cd620d784d247ac9def2fbe55de1ad1","https://api.spotify.com/v1/tracks/0KvjTPx9hVS1gjdvRwwpjX"
