"disc_number","duration_ms","isrc","href","spotify_external_url","id","name","popularity","preview_url","track_number"
"1","134840","JPM201801800","https://api.spotify.com/v1/tracks/5VUrh1Xea7smGmo63s178m","https://open.spotify.com/track/5VUrh1Xea7smGmo63s178m","5VUrh1Xea7smGmo63s178m","第2章「初仕事」 ~遙かなる山(山BGM)","2","https://p.scdn.co/mp3-preview/d64c69e59fa3ef11832dcb3de6253a3a163caf5a?cid=2cd620d784d247ac9def2fbe55de1ad1","11"
"1","96533","JPM201801801","https://api.spotify.com/v1/tracks/5uFshJvSKZriLbTQQA82t3","https://open.spotify.com/track/5uFshJvSKZriLbTQQA82t3","5uFshJvSKZriLbTQQA82t3","第2章「初仕事」 ~Penpe(ダンジョンBGM2)","1","https://p.scdn.co/mp3-preview/0a93b3635a22ee9e7e79067e2cd9f34f53c3d7af?cid=2cd620d784d247ac9def2fbe55de1ad1","12"
"1","139000","JPM201801802","https://api.spotify.com/v1/tracks/2LaVXtRxGMyamgSGqX5WzB","https://open.spotify.com/track/2LaVXtRxGMyamgSGqX5WzB","2LaVXtRxGMyamgSGqX5WzB","第2章「初仕事」 ~魔物たちとの対決(戦闘BGM)","4","https://p.scdn.co/mp3-preview/4704d8a74e5743d8379cd318f3a8df8a7ee4cc56?cid=2cd620d784d247ac9def2fbe55de1ad1","13"
"1","25293","JPM201801803","https://api.spotify.com/v1/tracks/4igcp6GL0qckhYSyOh56fx","https://open.spotify.com/track/4igcp6GL0qckhYSyOh56fx","4igcp6GL0qckhYSyOh56fx","第2章「初仕事」 ~勝利のテーマ(戦闘勝利BGM)","0","https://p.scdn.co/mp3-preview/735f243749b36dee232335a96af732daa0a42be4?cid=2cd620d784d247ac9def2fbe55de1ad1","14"
"1","84200","JPM201801804","https://api.spotify.com/v1/tracks/3W6JNk8gSgYA1z2Ve7TBN9","https://open.spotify.com/track/3W6JNk8gSgYA1z2Ve7TBN9","3W6JNk8gSgYA1z2Ve7TBN9","第3章「崩壊」 ~ロックロックランド(レナンカンプ・ロックランドBGM)","2","https://p.scdn.co/mp3-preview/55e3a5a1b4277763b363c19747ff18cb99f1638d?cid=2cd620d784d247ac9def2fbe55de1ad1","15"
"1","43973","JPM201801805","https://api.spotify.com/v1/tracks/6QXwS0TeJehGQdRDnIcfmB","https://open.spotify.com/track/6QXwS0TeJehGQdRDnIcfmB","6QXwS0TeJehGQdRDnIcfmB","第3章「崩壊」 ~緊迫のテーマ~アンサンブル編(イベント「解放軍アジト襲撃」より)","1","https://p.scdn.co/mp3-preview/1d6a5f74c6dc2201468045e6ccaef52b6acb81b8?cid=2cd620d784d247ac9def2fbe55de1ad1","16"
"1","106293","JPM201801806","https://api.spotify.com/v1/tracks/4RiqF6Nusj1wmSNMgi9CCe","https://open.spotify.com/track/4RiqF6Nusj1wmSNMgi9CCe","4RiqF6Nusj1wmSNMgi9CCe","第3章「崩壊」 ~悲しみのテーマ~アンサンブル編(イベント「オデッサの死」より)","1","https://p.scdn.co/mp3-preview/b516e1a5e25b85a64a0b821cc4ada4b6f27ef59a?cid=2cd620d784d247ac9def2fbe55de1ad1","17"
"1","171506","JPM201801807","https://api.spotify.com/v1/tracks/4fYF3ZOWzJc436yoQS8sxI","https://open.spotify.com/track/4fYF3ZOWzJc436yoQS8sxI","4fYF3ZOWzJc436yoQS8sxI","第4章「運命の導くままに」 ~悠久の流れ(セイカ・カク・コウアンの村BGM)","2","https://p.scdn.co/mp3-preview/4d7912489b1a0be18979021035e1d2cea89781af?cid=2cd620d784d247ac9def2fbe55de1ad1","18"
"1","84333","JPM201801808","https://api.spotify.com/v1/tracks/1gCQTVvKO8mMRO4EPC7Z19","https://open.spotify.com/track/1gCQTVvKO8mMRO4EPC7Z19","1gCQTVvKO8mMRO4EPC7Z19","第4章「運命の導くままに」 ~Joy Joy Time(サブゲームBGM)","1","https://p.scdn.co/mp3-preview/e14c36901748844f39775c13260fe8775172325c?cid=2cd620d784d247ac9def2fbe55de1ad1","19"
"1","118693","JPM201801809","https://api.spotify.com/v1/tracks/2Xc1Ha0QNkyiKfMcRIfFno","https://open.spotify.com/track/2Xc1Ha0QNkyiKfMcRIfFno","2Xc1Ha0QNkyiKfMcRIfFno","第4章「運命の導くままに」 ~侵入(ダンジョンBGM1)","0","https://p.scdn.co/mp3-preview/00cdda5ebc197b6a1066e9c6be28e5054e66fda9?cid=2cd620d784d247ac9def2fbe55de1ad1","20"
